"file","output","status","text_score","text_ge_08","strict_quality_gate_pass","error"
"2026-W05__glam_to_shadow_honest__sweep.json","C:\projects\GPTStoryworld\storyworlds\sweeps\2026-02-11_sweep_v2\final\2026-W05__glam_to_shadow_honest__sweep.json","ok","0.75","False","False",""
"2026-W05__mihna_constitutional_alignment__-__copia__(2)__sweep.json","C:\projects\GPTStoryworld\storyworlds\sweeps\2026-02-11_sweep_v2\final\2026-W05__mihna_constitutional_alignment__-__copia__(2)__sweep.json","ok","0.87","True","False",""
"2026-W05__mihna_constitutional_alignment__-__copia__(3)__sweep.json","C:\projects\GPTStoryworld\storyworlds\sweeps\2026-02-11_sweep_v2\final\2026-W05__mihna_constitutional_alignment__-__copia__(3)__sweep.json","ok","0.85","True","False",""
"2026-W05__mihna_constitutional_alignment__-__copia__(4)__sweep.json","C:\projects\GPTStoryworld\storyworlds\sweeps\2026-02-11_sweep_v2\final\2026-W05__mihna_constitutional_alignment__-__copia__(4)__sweep.json","ok","0.88","True","False",""
"2026-W05__mihna_constitutional_alignment__-__copia__(5)__sweep.json","C:\projects\GPTStoryworld\storyworlds\sweeps\2026-02-11_sweep_v2\final\2026-W05__mihna_constitutional_alignment__-__copia__(5)__sweep.json","ok","0.93","True","False",""
"2026-W05__mihna_constitutional_alignment__-__copia__sweep.json","C:\projects\GPTStoryworld\storyworlds\sweeps\2026-02-11_sweep_v2\final\2026-W05__mihna_constitutional_alignment__-__copia__sweep.json","ok","0.87","True","False",""
"2026-W06__england_to_france_honest_p__sweep.json","C:\projects\GPTStoryworld\storyworlds\sweeps\2026-02-11_sweep_v2\final\2026-W06__england_to_france_honest_p__sweep.json","ok","0.84","True","False",""
"2026-W06__france_to_germany_machiavellian__sweep.json","C:\projects\GPTStoryworld\storyworlds\sweeps\2026-02-11_sweep_v2\final\2026-W06__france_to_germany_machiavellian__sweep.json","ok","0.78","False","False",""
"2026-W06__mihna_constitutional_alignment__sweep.json","C:\projects\GPTStoryworld\storyworlds\sweeps\2026-02-11_sweep_v2\final\2026-W06__mihna_constitutional_alignment__sweep.json","ok","0.82","True","True",""
"2026-W06__russia_to_austria_grudger__sweep.json","C:\projects\GPTStoryworld\storyworlds\sweeps\2026-02-11_sweep_v2\final\2026-W06__russia_to_austria_grudger__sweep.json","ok","0.73","False","False",""
"2026-W06__russia_to_austria_grudger_p__sweep.json","C:\projects\GPTStoryworld\storyworlds\sweeps\2026-02-11_sweep_v2\final\2026-W06__russia_to_austria_grudger_p__sweep.json","ok","0.75","False","True",""
