"input_file","output_file","status","text_score","text_ge_08","loop_reached_threshold","strict_quality_gate_pass","error"
"C:\projects\GPTStoryworld\storyworlds\by-week\2025-W19\dogs_in_a_barrel_secret_endings_spools.json","C:\projects\GPTStoryworld\storyworlds\sweeps\2026-02-11_sweep_v1\final\2025-W19__dogs_in_a_barrel_secret_endings_spools__sweep.json","ok","0.56","False","False","False",""
"C:\projects\GPTStoryworld\storyworlds\by-week\2025-W40\storyworld_template_v1_canonical_full_normalized.json","C:\projects\GPTStoryworld\storyworlds\sweeps\2026-02-11_sweep_v1\final\2025-W40__storyworld_template_v1_canonical_full_normalized__sweep.json","error","0","False","False","False","evaluate_text_quality failed"
"C:\projects\GPTStoryworld\storyworlds\by-week\2025-W49\diplo1.json","C:\projects\GPTStoryworld\storyworlds\sweeps\2026-02-11_sweep_v1\final\2025-W49__diplo1__sweep.json","ok","0.77","False","True","False",""
"C:\projects\GPTStoryworld\storyworlds\by-week\2025-W52\first_and_last_men_flagship.json","C:\projects\GPTStoryworld\storyworlds\sweeps\2026-02-11_sweep_v1\final\2025-W52__first_and_last_men_flagship__sweep.json","ok","0.38","False","False","False",""
"C:\projects\GPTStoryworld\storyworlds\by-week\2026-W04\first_and_last_men_complete.json","C:\projects\GPTStoryworld\storyworlds\sweeps\2026-02-11_sweep_v1\final\2026-W04__first_and_last_men_complete__sweep.json","ok","0.46","False","False","False",""
"C:\projects\GPTStoryworld\storyworlds\by-week\2026-W05\glam_to_shadow_honest.json","C:\projects\GPTStoryworld\storyworlds\sweeps\2026-02-11_sweep_v1\final\2026-W05__glam_to_shadow_honest__sweep.json","ok","0.87","True","True","False",""
"C:\projects\GPTStoryworld\storyworlds\by-week\2026-W05\hive_to_glam_machiavellian.json","C:\projects\GPTStoryworld\storyworlds\sweeps\2026-02-11_sweep_v1\final\2026-W05__hive_to_glam_machiavellian__sweep.json","ok","0.75","False","True","False",""
"C:\projects\GPTStoryworld\storyworlds\by-week\2026-W05\mihna_constitutional_alignment - copia (2).json","C:\projects\GPTStoryworld\storyworlds\sweeps\2026-02-11_sweep_v1\final\2026-W05__mihna_constitutional_alignment__-__copia__(2)__sweep.json","ok","0.88","True","True","False",""
"C:\projects\GPTStoryworld\storyworlds\by-week\2026-W05\mihna_constitutional_alignment - copia (3).json","C:\projects\GPTStoryworld\storyworlds\sweeps\2026-02-11_sweep_v1\final\2026-W05__mihna_constitutional_alignment__-__copia__(3)__sweep.json","ok","0.88","True","True","False",""
"C:\projects\GPTStoryworld\storyworlds\by-week\2026-W05\mihna_constitutional_alignment - copia (4).json","C:\projects\GPTStoryworld\storyworlds\sweeps\2026-02-11_sweep_v1\final\2026-W05__mihna_constitutional_alignment__-__copia__(4)__sweep.json","ok","0.88","True","True","False",""
"C:\projects\GPTStoryworld\storyworlds\by-week\2026-W05\mihna_constitutional_alignment - copia (5).json","C:\projects\GPTStoryworld\storyworlds\sweeps\2026-02-11_sweep_v1\final\2026-W05__mihna_constitutional_alignment__-__copia__(5)__sweep.json","ok","0.88","True","True","False",""
"C:\projects\GPTStoryworld\storyworlds\by-week\2026-W05\mihna_constitutional_alignment - copia.json","C:\projects\GPTStoryworld\storyworlds\sweeps\2026-02-11_sweep_v1\final\2026-W05__mihna_constitutional_alignment__-__copia__sweep.json","ok","0.88","True","True","False",""
"C:\projects\GPTStoryworld\storyworlds\by-week\2026-W05\shadow_to_bio_grudger.json","C:\projects\GPTStoryworld\storyworlds\sweeps\2026-02-11_sweep_v1\final\2026-W05__shadow_to_bio_grudger__sweep.json","ok","0.76","False","False","False",""
"C:\projects\GPTStoryworld\storyworlds\by-week\2026-W06\charter_of_ashen_aegis.json","C:\projects\GPTStoryworld\storyworlds\sweeps\2026-02-11_sweep_v1\final\2026-W06__charter_of_ashen_aegis__sweep.json","ok","0.58","False","False","False",""
"C:\projects\GPTStoryworld\storyworlds\by-week\2026-W06\council_of_valedorn.json","C:\projects\GPTStoryworld\storyworlds\sweeps\2026-02-11_sweep_v1\final\2026-W06__council_of_valedorn__sweep.json","ok","0.57","False","False","False",""
"C:\projects\GPTStoryworld\storyworlds\by-week\2026-W06\elysin_prince.json","C:\projects\GPTStoryworld\storyworlds\sweeps\2026-02-11_sweep_v1\final\2026-W06__elysin_prince__sweep.json","ok","0.62","False","False","False",""
"C:\projects\GPTStoryworld\storyworlds\by-week\2026-W06\england_to_france_honest.json","C:\projects\GPTStoryworld\storyworlds\sweeps\2026-02-11_sweep_v1\final\2026-W06__england_to_france_honest__sweep.json","ok","0.74","False","False","False",""
"C:\projects\GPTStoryworld\storyworlds\by-week\2026-W06\england_to_france_honest_p.json","C:\projects\GPTStoryworld\storyworlds\sweeps\2026-02-11_sweep_v1\final\2026-W06__england_to_france_honest_p__sweep.json","ok","0.82","True","False","False",""
"C:\projects\GPTStoryworld\storyworlds\by-week\2026-W06\france_germany_machiavellian_extended.json","C:\projects\GPTStoryworld\storyworlds\sweeps\2026-02-11_sweep_v1\final\2026-W06__france_germany_machiavellian_extended__sweep.json","ok","0.74","False","False","False",""
"C:\projects\GPTStoryworld\storyworlds\by-week\2026-W06\france_germany_machiavellian_extended_p.json","C:\projects\GPTStoryworld\storyworlds\sweeps\2026-02-11_sweep_v1\final\2026-W06__france_germany_machiavellian_extended_p__sweep.json","ok","0.68","False","False","False",""
"C:\projects\GPTStoryworld\storyworlds\by-week\2026-W06\france_to_germany_machiavellian.json","C:\projects\GPTStoryworld\storyworlds\sweeps\2026-02-11_sweep_v1\final\2026-W06__france_to_germany_machiavellian__sweep.json","ok","0.87","True","False","False",""
"C:\projects\GPTStoryworld\storyworlds\by-week\2026-W06\france_to_germany_machiavellian_p.json","C:\projects\GPTStoryworld\storyworlds\sweeps\2026-02-11_sweep_v1\final\2026-W06__france_to_germany_machiavellian_p__sweep.json","ok","0.72","False","False","False",""
"C:\projects\GPTStoryworld\storyworlds\by-week\2026-W06\gaza_doctor.json","C:\projects\GPTStoryworld\storyworlds\sweeps\2026-02-11_sweep_v1\final\2026-W06__gaza_doctor__sweep.json","ok","0.62","False","False","False",""
"C:\projects\GPTStoryworld\storyworlds\by-week\2026-W06\hamlet.json","C:\projects\GPTStoryworld\storyworlds\sweeps\2026-02-11_sweep_v1\final\2026-W06__hamlet__sweep.json","error","0","False","False","False","iterate_text_quality_loop failed"
"C:\projects\GPTStoryworld\storyworlds\by-week\2026-W06\hamlet_p.json","C:\projects\GPTStoryworld\storyworlds\sweeps\2026-02-11_sweep_v1\final\2026-W06__hamlet_p__sweep.json","ok","0.22","False","False","False",""
"C:\projects\GPTStoryworld\storyworlds\by-week\2026-W06\mihna_constitutional_alignment.json","C:\projects\GPTStoryworld\storyworlds\sweeps\2026-02-11_sweep_v1\final\2026-W06__mihna_constitutional_alignment__sweep.json","ok","0.87","True","True","False",""
"C:\projects\GPTStoryworld\storyworlds\by-week\2026-W06\no_exit_p2.json","C:\projects\GPTStoryworld\storyworlds\sweeps\2026-02-11_sweep_v1\final\2026-W06__no_exit_p2__sweep.json","ok","0.58","False","False","False",""
"C:\projects\GPTStoryworld\storyworlds\by-week\2026-W06\ottoman_qadi.json","C:\projects\GPTStoryworld\storyworlds\sweeps\2026-02-11_sweep_v1\final\2026-W06__ottoman_qadi__sweep.json","ok","0.61","False","False","False",""
